mode,label,num_queries,mean_ms,median_ms,p50_ms,p95_ms,min_ms,max_ms
dense,Dense,500,19.849659935804084,17.004771012580022,17.012250027619302,38.43979199882597,8.993208000902086,165.33666697796434
pcst_dense,Dense-guided PCST,500,16.810736401122995,16.152166470419616,16.152999945916235,25.447624968364835,9.4514160300605,65.65679196501151
gnn,GNN,500,16.974224940990098,16.145208035595715,16.147541056852788,25.307665986474603,10.165792016778141,41.20129102375358
fusion,Dense + GraphSAGE fusion,500,33.83979352249298,31.808646017452702,31.83875000104308,52.59370798012242,20.542167010717094,135.3351249708794
pcst,Dense + GraphSAGE + PCST,500,32.964401772711426,30.934687500121072,30.958416988141835,51.10266600968316,20.60691697988659,132.79404200147837
